shippingDate,title,company,salary,province,workingHours,typeOfCooperation,facility,tagList
2025-03-08,Senior Data Engineer,کارگزاری اندیشه و بینش پیشرو,40 - 60 میلیون تومان,تهران ، آرژانتین,Saturday to Wednesday from 8 to 16,Full Time,,"['Bachelor\n|\nComputer and IT', 'English\n|\nIntermediate - 50%', 'تدبیر\n|\nBasic', 'Zookeeper\n|\nBasic', 'Sql Server\n|\nAdvanced', 'PostgreSql\n|\nAdvanced', 'Cassandra\n|\nBasic', 'Docker\n|\nIntermediate', 'Kubernetes\n|\nBasic', 'Docker Swarm\n|\nBasic', 'Gerafana\n|\nAdvanced', 'Prometheus\n|\nAdvanced', 'Rancher\n|\nBasic', 'Gitlab\n|\nAdvanced', 'Redis\n|\nIntermediate', 'Kafka\n|\nIntermediate', 'RabbitMQ\n|\nIntermediate', 'Microsoft Azure Devops / TFS\n|\nBasic', 'Linux\n|\nIntermediate']"
2025-04-28,کارشناس هوش تجاری (BI),گروه صنعتی طبیعت ماکان,an argumant,تهران ، شهران,شنبه الی سه شنبه 08:00الی 1700 و چهارشنبه 08:00 الی 16:00,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'کارشناسی\n|\nمهندسی صنایع', 'انگلیسی\n|\nمتوسط ۵۰٪', 'MySql\n|\nمتوسط', 'PowerBI\n|\nپیشرفته']"
2025-03-16,Data Analysis Specialist (Vendor),خدمات ارتباطی ایرانسل,an argumant,تهران ، هروی,Saturday to Wednesday,Full Time,,"['Bachelor\n|\nComputer and IT', 'English\n|\nIntermediate - 50%']"
2025-03-05,متخصص هوش مصنوعی - آقا,دانشگاه صنعتی همدان,an argumant,همدان,پروژه‌ای,قراردادی / پروژه ای,امکان دورکاری,[]
2025-03-06,مهندس کامپیوتر (هوش مصنوعی),شرکت کیمیانشان پایا,an argumant,تهران ، جردن,شنبه تا چهارشنبه,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nمتوسط ۵۰٪']"
2025-03-10,متخصص هوش مصنوعی,ایرانیان سلامت سپیدار,25 - 35 میلیون تومان,تهران ، هروی,شنبه تا چهارشنبه 7 تا 16,تمام وقت,,"['انگلیسی\n|\nبالاتر از متوسط ۷۰٪', 'Python\n|\nمتوسط', 'MATLAB\n|\nمتوسط']"
2025-03-08,مهندس داده,شرکت خدمات انفورماتیک,an argumant,تهران ، میرداماد,شنبه تا چهارشنبه (17:00 - 8:00),تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'کارشناسی\n|\nمهندسی صنایع']"
2025-04-07,کارشناس هوش تجاری (BI),شرکت سلامت الکترونیکی تامین (ساتا),an argumant,تهران ، تهرانسر,شنبه الی چهارشنبه 8 تا 16:30,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'T-Sql\n|\nمتوسط']"
2025-04-23,مهندس پایگاه داده (Junior),داده کاوان توسن,an argumant,تهران ، جردن,شنبه تا چهارشنبه 8 الی 16:30 (شناوری),تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nپایین تر از متوسط ۳۰٪', 'T-Sql\n|\nمقدماتی', 'Sql Server\n|\nمقدماتی', 'PL-SQL\n|\nمقدماتی']"
2025-03-09,متخصص هوش مصنوعی,گروه صنعتی طبیعت ماکان,an argumant,تهران ، شهران,شنبه الی سه شنبه 08:00الی 1700 و چهارشنبه 08:00 الی 16:00,تمام وقت,,"['کارشناسی ارشد\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nمتوسط ۵۰٪', 'Swift\n|\nمتوسط', 'Microsoft Visual Studio\n|\nمتوسط', 'Microsoft Excel\n|\nپیشرفته', 'Microsoft Word\n|\nپیشرفته']"
2025-03-15,کارشناس Power BI (هوش مصنوعی),شرکت مشاوره فردی و سازمانی,25 - 35 میلیون تومان,ابیک,پروژه ای یا ساعتی,پاره وقت,"پاره وقت
امکان دورکاری","['PowerBI\n|\nپیشرفته', 'Python\n|\nپیشرفته']"
2025-03-07,مدرس هوش مصنوعی,آکادمی ایساتیس,30 - 35 میلیون تومان,یزد,16 تا 20,قراردادی / پروژه ای,,[]
2025-03-05,Data Engineer,داریا همراه پایتخت,an argumant,تهران ، پارک وی,Sat to Wed From 10 to 18,Full Time,,"['Python\n|\nIntermediate', 'PostgreSql\n|\nIntermediate', 'MongoDB\n|\nIntermediate', 'Kafka\n|\nIntermediate', 'RabbitMQ\n|\nIntermediate']"
2025-04-08,کارشناس هوش تجاری (BI),تیپاکس اکسپرس پارس,an argumant,تهران ، شهرک استقلال,شنبه تا چهارشنبه 8:00 الی 17:00 (30 دقیقه شناوری),تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nبالاتر از متوسط ۷۰٪', 'PowerBI\n|\nمتوسط', 'SSAS\n|\nمتوسط', 'SSIS\n|\nمتوسط', 'Sql Server\n|\nمتوسط']"
2025-03-08,Data Analyst and Reporting Specialist,شرکت به پرداخت ملت,an argumant,تهران ، پاسداران,شنبه تا چهارشنبه,Full Time,,[]
