shippingDate,title,company,salary,province,workingHours,typeOfCooperation,facility,tagList
2025-05-04,کارشناس تحلیل گر کسب و کار,دیویدجونز,25 - 35 میلیون تومان,تهران ، مرزداران,شنبه الی چهارشنبه 8 الی 17,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'کارشناسی\n|\nمهندسی صنایع', 'کارشناسی\n|\nمدیریت / بازرگانی / کسب و کار', 'انگلیسی\n|\nبالاتر از متوسط ۷۰٪', 'PowerBI\n|\nپیشرفته', 'Microsoft Excel\n|\nپیشرفته']"
2025-04-05,کارآموز مدلسازی ریاضی و تحلیل داده,توسعه و بازآفرینی پایدار ایرانیان,14 - 20 میلیون تومان,تهران ، شریعتی,8تا16 -شنبه تا چهارشنبه,تمام وقت یا پاره وقت,"امکان دورکاری
امکان جذب کارآموز","['کارشناسی\n|\nریاضی و آمار', 'Microsoft Excel\n|\nمتوسط', 'Python\n|\nمقدماتی', 'MySql\n|\nمقدماتی']"
2025-04-29,متخصص داده,کارگزاری مفید,an argumant,تهران ، جردن,شنبه تا چهارشنبه ساعت 16:30 - 07:30,تمام وقت,,['Oracle NoSQL\n|\nمتوسط']
2025-04-17,Senior Data Analyst,تپسی,an argumant,تهران ، سعادت آباد,Saturday to Wednesday,Full Time,,"['Bachelor\n|\nComputer and IT', 'Bachelor\n|\nMath / Statistics', 'Sql Server\n|\nIntermediate', 'Python\n|\nIntermediate', 'PowerBI\n|\nIntermediate']"
2025-04-29,کارشناس هوش مصنوعی - آقا,شرکت صنایع قهوه پارت سازان (مولتی کافه),30 - 35 میلیون تومان,مشهد,شنبه تا پنج شنبه,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nمقدماتی ۱۰٪', 'Python\n|\nمقدماتی', 'Django\n|\nمقدماتی']"
2025-04-29,کارشناس علم داده,شرکت خدمات مهندسی بهینه کاوان کیفیت,15 - 20 میلیون تومان,تهران ، سردار جنگل,شنبه تا چهارشنبه 8تا 16:30,تمام وقت,,"['کارشناسی\n|\nریاضی و آمار', 'کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nمتوسط ۵۰٪', 'Sql Server\n|\nمتوسط', 'Python\n|\nپیشرفته', 'Microsoft Excel\n|\nپیشرفته', 'Microsoft Word\n|\nمتوسط']"
2025-04-29,Data Scientist,گروه حمل و نقل بین المللی ادمیرال,an argumant,تهران ، آرژانتین,Sunday to Thursday 8:30 - 17:15,Full Time,,"['Bachelor\n|\nComputer and IT', 'Bachelor\n|\nMath / Statistics', 'English\n|\nAdvanced 90%', 'Python\n|\nIntermediate']"
2025-04-13,کارشناس BI,شرکت مهندسی دامون,25 - 30 میلیون تومان,تهران ، ایرانشهر,شنبه تا چهارشنبه - 8:00 الی 17:00,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'کارشناسی\n|\nمدیریت / بازرگانی / کسب و کار', 'کارشناسی\n|\nریاضی و آمار', 'کارشناسی\n|\nمهندسی صنایع', 'PowerBI\n|\nپیشرفته', 'Microsoft Excel\n|\nپیشرفته', 'Python\n|\nمقدماتی', 'JavaScript\n|\nمقدماتی', 'PL-SQL\n|\nمتوسط', 'Tableau\n|\nمتوسط']"
2025-05-04,مهندس هوش مصنوعی (AI Engineer),نیلاسافت,an argumant,رشت,شنبه تا چهارشنبه از 9 تا 17 و پنج شنبه از 9 تا 14,تمام وقت,امکان دورکاری,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nپیشرفته ۹۰٪', 'Python\n|\nپیشرفته', 'Docker\n|\nمتوسط', 'Spark\n|\nمقدماتی', 'Kubernetes\n|\nمتوسط', 'Hadoop\n|\nمتوسط']"
2025-04-29,جنریت آرتیست (تولید محتوای تصویری با هوش مصنوعی),شرکت توسعه خلاقیت رستار,an argumant,تهران ، ولنجک,شنبه تا چهارشنبه، 9 صبح تا 18 عصر,تمام وقت یا پاره وقت,,[]
2025-04-26,کارشناس برنامه ریزی و تحلیل داده,بانک خاورمیانه,an argumant,تهران ، آرژانتین,تمام وقت,تمام وقت,,"['PowerBI\n|\nپیشرفته', 'Microsoft Project\n|\nمقدماتی']"
2025-04-29,Associate Data Scientist,گروه حمل و نقل بین المللی ادمیرال,an argumant,تهران ، آرژانتین,Sunday to Thursday 8:30 - 17:15,Full Time,,"['Bachelor\n|\nComputer and IT', 'Bachelor\n|\nMath / Statistics', 'English\n|\nAdvanced 90%', 'Python\n|\nIntermediate']"
2025-05-04,توسعه‌دهنده هوش مصنوعی,یکتا ای آی,an argumant,مشهد,شنبه تا چهار شنبه 16 تا 19,قراردادی / پروژه ای,امکان دورکاری,"['کاردانی\n|\nکامپیوتر / فناوری اطلاعات', 'Python\n|\nپیشرفته', 'JavaScript\n|\nمتوسط', 'Node.js\n|\nمتوسط', 'PHP\n|\nمتوسط', 'Rest API\n|\nپیشرفته']"
2025-04-05,برنامه‌نویس پایتون (تخصص هوش مصنوعی),مجموعه فورسین,20 - 25 میلیون تومان,تهران ، پاسداران,َشنبه تا چهار شنبه 9 صبح تا 5 بعد از ظهر و پنج شنبه ها 9 تا 2,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nپیشرفته ۹۰٪', 'Python\n|\nپیشرفته', 'OpenCV\n|\nپیشرفته', 'GIT\n|\nمتوسط', 'Keras\n|\nمتوسط', 'Django\n|\nمتوسط']"
2025-04-26,کارشناس هوش مصنوعی (حضوری),شرکت نو اندیشان طب گستر آسیا,15 - 20 میلیون تومان,تهران ، جردن,-,قراردادی / پروژه ای,,"['Microsoft Access\n|\nمتوسط', 'Microsoft Word\n|\nمتوسط', 'Microsoft Powerpoint\n|\nمتوسط', 'Microsoft Visio\n|\nمتوسط', 'Microsoft Excel\n|\nمتوسط', 'Microsoft Outlook\n|\nمتوسط', 'MathType\n|\nمتوسط']"
2025-04-26,کارشناس یادگیری ماشین (machine learning),ارتباطات سیار ایران - همراه اول,an argumant,تهران ، سعادت آباد,شنبه تا چهارشنبه 7 تا 15:50 (2 ساعت شناوری),تمام وقت,,"['کارشناسی\n|\nمهندسی صنایع', 'کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'Python\n|\nمتوسط', 'T-Sql\n|\nمقدماتی', 'Docker\n|\nمقدماتی', 'GIT\n|\nمقدماتی']"
2025-03-13,کارشناس هوش مصنوعی,زاریس خودرو,22 - 30 میلیون تومان,تهران ، سعادت آباد,شنبه تا پنجشنبه,تمام وقت,"امکان دورکاری
امکان جذب کارآموز","['Python\n|\nپیشرفته', 'Sql Server\n|\nمتوسط']"
2025-04-29,Senior Data Scientist,گروه حمل و نقل بین المللی ادمیرال,an argumant,تهران ، آرژانتین,Sunday to Thursday 8:30 - 17:15,Full Time,,"['Bachelor\n|\nComputer and IT', 'Bachelor\n|\nMath / Statistics', 'English\n|\nAdvanced 90%', 'Python\n|\nAdvanced']"
2025-04-20,متخصص هوش مصنوعی,کارنونیک,20 - 25 میلیون تومان,پردیس,شنبه تا چهارشنبه 8الی 17,قراردادی / پروژه ای,امکان دورکاری,[]
2025-05-02,کارشناس علوم داده,شرکت مشاوره رتبه بندی اعتباری ایران,an argumant,تهران ، آرژانتین,شنبه تا چهارشنبه از ساعت 8 الی17 از ساعت 7 الی 9 شناور,تمام وقت,,['Python\n|\nپیشرفته']
2025-04-15,Data Analyst,بیمه بازار,an argumant,تهران ، شیخ بهایی,شنبه تا چهارشنبه ساعت 9 تا 18,تمام وقت,,['Sql Server\n|\nمتوسط']
2025-04-30,کارشناس تحلیلگر کوانت,شرکت کارگزاری آگاه,an argumant,تهران ، ظفر,شنبه تا چهارشنبه 7 الی 16 با یک ساعت شناوری,تمام وقت,,"['کارشناسی\n|\nریاضی و آمار', 'کارشناسی\n|\nمالی و حسابداری', 'کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nبالاتر از متوسط ۷۰٪']"
2025-04-08,کارشناس هوش مصنوعی,صنایع نساجی تارا ریس آریا,an argumant,تهران ، کاووسیه,شنبه تا چهارشنبه 07:30تا 15:45، پنج شنبه 08:00 تا 12:00,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'کارشناسی\n|\nمهندسی برق', 'کارشناسی\n|\nریاضی و آمار', 'Python\n|\nمتوسط']"
2025-04-30,کارشناس هوش مصنوعی - آقا,تولید سازه های آلومینیومی ایران,25 - 30 میلیون تومان,کاشان,شنبه تا چهارشنبه 7 الی 15:15 (در ادامه اضافه کاری محاسبه می گردد) - پنجشنبه تعطیل (در صورت نیاز به حضور اضافه کاری),تمام وقت,,"['کارشناسی ارشد\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nپایین تر از متوسط ۳۰٪', 'C#\n|\nمقدماتی', 'ASP.Net\n|\nمقدماتی', 'MySql\n|\nمقدماتی']"
2025-04-16,متخصص هوش مصنوعی,دانش بنیان پافکو (پژوهش افزار فردا),an argumant,تهران ، باغ صبا - سهروردی,شنبه تا چهارشنبه 7:45 تا 16:15 (با 45 دقیقه شناوری) - در صورت نیاز شیفتی اضافه کار,تمام وقت یا پاره وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'MongoDB\n|\nمتوسط', 'Python\n|\nمتوسط']"
2025-04-08,Big Data Engineer ( مهندس داده),شرکت فرابورس ایران,50 - 69 میلیون تومان,تهران ، آرژانتین,شنبه تا چهارشنبه 8 تا 16,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'Python\n|\nمتوسط', 'MongoDB\n|\nمقدماتی', 'Oracle NoSQL\n|\nمقدماتی', 'Sql Server\n|\nمقدماتی']"
2025-05-04,مهندس هوش مصنوعی (NLP),شرکت مهندسی شبکه گستران آریاسامانه - نواتل,an argumant,تهران ، شریعتی,شنبه تا چهارشنبه 9 الی 18,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'کارشناسی\n|\nمهندسی برق', 'کارشناسی\n|\nریاضی و آمار', 'Sql Server\n|\nمتوسط', 'Python\n|\nمتوسط']"
2025-04-28,کارشناس هوش مصنوعی,هلدینگ فناوری نوآوری آراد,an argumant,تهران ، شهرک آزادی,شنبه تا چهارشنبه 8 الی 17,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nبالاتر از متوسط ۷۰٪', 'Python\n|\nمتوسط', 'GIT\n|\nمتوسط']"
2025-04-26,Data Analyst,اسنپ,an argumant,تهران ، زعفرانیه,Saturday - Wednesday,Full Time,,"['Bachelor\n|\nComputer and IT', 'Microsoft Excel\n|\nAdvanced', 'SQL/DS\n|\nIntermediate']"
2025-04-27,پژوهشگر هوش مصنوعی,همایش گستر ایده بارسا,an argumant,تهران ، تجریش,شنبه تا چهارشنبه,تمام وقت,,['انگلیسی\n|\nپیشرفته ۹۰٪']
2025-04-25,مدیر محصول هوش مصنوعی,شرکت داده و اعتبار سنجی تجارت ایرانیان (داتا),an argumant,تهران ، آرژانتین,شنبه تا چهارشنبه ساعت 8 تا 17,تمام وقت,,[]
2025-04-22,کارشناس هوش مصنوعی,پایور آسانبر مبتکران صنعت,an argumant,اهواز ، کیان پارس,شنبه تا چهارشنبه 8 الی 17 - پنجشنبه 8 الی 12,تمام وقت یا پاره وقت,,"['Microsoft Excel\n|\nپیشرفته', 'Python\n|\nمتوسط', 'Microsoft Word\n|\nمتوسط', 'Microsoft ERP\n|\nمتوسط', 'Odoo ERP\n|\nمتوسط', 'JavaScript\n|\nمتوسط']"
2025-04-19,کارشناس هوش مصنوعی,بهسازان ملت,an argumant,تهران ، پاسداران,شنبه تا چهارشنبه,تمام وقت,,[]
2025-05-04,Data Analyst,آسان پرداخت,an argumant,تهران ، امانیه,Saturday to Wednesday (07:00-16:00 / 08:00-17:30),Full Time,,"['Bachelor\n|\nMath / Statistics', 'Bachelor\n|\nComputer and IT', 'Python\n|\nIntermediate']"
2025-04-26,سرپرست تحلیل داده,مرکز پرستاری,an argumant,تهران ، سعادت آباد,شنبه تا چهارشنبه از ساعت 8:00 الی 16:50 یا ساعت 09:00 الی 17:50,تمام وقت,,"['Microsoft Excel\n|\nپیشرفته', 'Sql Server\n|\nپیشرفته', 'Google Analytics\n|\nپیشرفته', 'Tableau\n|\nپیشرفته', 'PowerBI\n|\nپیشرفته']"
2025-04-22,توسعه دهنده هوش مصنوعی,داده کاوان توسن,an argumant,تهران ، جردن,شنبه تا چهارشنبه 8-16:30,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nمتوسط ۵۰٪', 'Python\n|\nمتوسط', 'Oracle Database\n|\nمتوسط', 'Linux\n|\nمتوسط', 'GIT\n|\nمتوسط']"
2025-04-16,کارشناس هوش مصنوعی LLM,هلدینگ بین المللی آرکارو,an argumant,کرج ، گلشهر,شنبه تا چهارشنبه تمام وقت 8 الی 17 - پنج شنبه 8 الی 13,تمام وقت,,"['Python\n|\nپیشرفته', 'JavaScript\n|\nمتوسط', 'Html & CSS\n|\nمتوسط', 'GIT\n|\nمتوسط', 'Django\n|\nپیشرفته', 'Rest API\n|\nپیشرفته', 'Keras\n|\nمتوسط']"
2025-04-17,Data Engineer,پارس تصمیم,35 - 50 میلیون تومان,تهران ، سیدخندان,شنبه تا چهارشنبه 8 تا 17,تمام وقت,,"['انگلیسی\n|\nپیشرفته ۹۰٪', 'Python\n|\nمتوسط', 'Sql Server\n|\nمتوسط', 'Linux\n|\nمتوسط']"
2025-04-28,توسعه‌دهنده هوش مصنوعی,دکتر مد مدیکال تکنولوژی,an argumant,ترکیه,منعطف در طول هفته,قراردادی / پروژه ای,امکان دورکاری,"['Django\n|\nمتوسط', 'Sql Server\n|\nمتوسط', 'Python\n|\nمتوسط']"
2025-05-04,کارشناس هوش مصنوعی,رستافن ارتباط,an argumant,مشهد,شنبه تا چهارشنبه 8 الی 17,تمام وقت,,[]
2025-04-12,متخصص هوش مصنوعی,آریا هوشمند آیتک,17 - 25 میلیون تومان,اصفهان,در صورت کار به طور تمام وقت ساعت کاری از 8 صبح الی 15:30,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'کارشناسی\n|\nمهندسی صنایع', 'انگلیسی\n|\nمتوسط ۵۰٪', 'R\n|\nمقدماتی', 'Minitab\n|\nمقدماتی', 'MAPLE\n|\nمقدماتی', 'Sql Server\n|\nمقدماتی', 'PowerBI\n|\nمقدماتی', 'Tableau\n|\nمقدماتی', 'MapReduce\n|\nمقدماتی', 'C++\n|\nمقدماتی', 'Python\n|\nمقدماتی']"
2025-05-04,کارشناس جمع آوری داده و محتوای سایت,داده نگار,20 - 25 میلیون تومان,تهران ، پاسداران,شنبه تا چهارشنبه,تمام وقت,,['Wordpress\n|\nمتوسط']
2025-04-28,مهندس داده,داده کاوان توسن,an argumant,تهران ، جردن,شنبه الی چهارشنبه 8 الی 16:30 (شناوری) امکان دورکاری کامل وجود دارد.,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nبالاتر از متوسط ۷۰٪', 'Sql Server\n|\nپیشرفته', 'MySql\n|\nمتوسط', 'T-Sql\n|\nمتوسط', 'PL-SQL\n|\nمتوسط', 'Oracle NoSQL\n|\nمتوسط', 'Oracle Database\n|\nپیشرفته', 'PostgreSql\n|\nمتوسط']"
2025-04-14,کارشناس هوش مصنوعی,پیشرو صنعت آسمان عمار,20 - 30 میلیون تومان,تهران ، آزادی,شنبه تا چهارشنبه 8 تا 17 پنجشنبه 8 تا 13,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'کارشناسی\n|\nمهندسی برق', 'انگلیسی\n|\nبالاتر از متوسط ۷۰٪', 'Python\n|\nپیشرفته', 'GIT\n|\nمتوسط', 'C++\n|\nمتوسط', 'Keras\n|\nمقدماتی', 'OpenCV\n|\nپیشرفته']"
2025-04-08,برنامه نویس هوش مصنوعی (Ai),بهزادایکام,15 - 20 میلیون تومان,گرگان,شنبه تا پنج شنبه 8 تا 16,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'Python\n|\nپیشرفته']"
2025-04-12,کارشناس هوش مصنوعی,تجارت الکترونیک و فناوری اطلاعات ملل,15 - 20 میلیون تومان,تهران ، شهرک والفجر,شنبه تا چهارشنبه 07:10 الی 16:00,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nپیشرفته ۹۰٪', 'Rest API\n|\nپیشرفته']"
2025-04-09,توسعه‌دهنده‌ی ارشد هوش مصنوعی,استودیو زیرزمین,an argumant,تهران ، ولنجک,شنبه تا جهارشنبه ساعت 9 الی 18,تمام وقت,,[]
2025-04-26,کارشناس ارشد هوش تجاری,گروه کوبل,an argumant,تهران ، آرژانتین,شنبه تا چهارشنبه,تمام وقت,,"['PowerBI\n|\nپیشرفته', 'Sql Server\n|\nپیشرفته', 'SSIS\n|\nمتوسط', 'SSAS\n|\nمتوسط', 'SSRS\n|\nمقدماتی']"
2025-04-21,Senior Data Engineer,اُکالا,50 - 70 میلیون تومان,تهران ، آرژانتین,Saturday to Wednesday,Full Time,,[]
2025-05-04,AI Developer,فناوری اطلاعات و ارتباطات مُهَیمن,an argumant,تهران ، عباس آباد (بهشتی),,تمام وقت,,"['GIT\n|\nمتوسط', 'Python\n|\nمتوسط', 'Rest API\n|\nمتوسط', 'Docker\n|\nمقدماتی']"
2025-04-29,کارشناس توسعه هوش تجاری (BI),کارگزاری مفید,an argumant,تهران ، جردن,شنبه تا چهارشنبه ساعت 16:30 - 07:30,تمام وقت,,"['Python\n|\nمتوسط', 'Sql Server\n|\nمتوسط']"
2025-04-27,متخصص DevOps,مرکز نوآوری هوش مصنوعی اسمارتک,20 - 30 میلیون تومان,اصفهان,منعطف حداقل 4 روز کار حضوری,تمام وقت یا پاره وقت,,"['Docker\n|\nپیشرفته', 'Kubernetes\n|\nمتوسط', 'Prometheus\n|\nمتوسط', 'Gerafana\n|\nمتوسط', 'Kafka\n|\nمتوسط', 'RabbitMQ\n|\nمتوسط', 'Linux\n|\nپیشرفته']"
2025-04-29,Power BI Developer,گروه حمل و نقل بین المللی ادمیرال,an argumant,تهران ، آرژانتین,Sunday to Thursday 7:30 - 16:15,Full Time,,"['Bachelor\n|\nComputer and IT', 'Bachelor\n|\nMath / Statistics', 'English\n|\nAdvanced 90%', 'PowerBI\n|\nAdvanced', 'Sql Server\n|\nIntermediate']"
2025-04-12,برنامه‌نویس هوش مصنوعی (پردازش سیگنال‌های صوتی),شرکت بهین برازش رایان پویش,15 - 20 میلیون تومان,مشهد ، محله کوثر,شنبه تا پنجشنبه 9 تا 17,قراردادی / پروژه ای,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'Python\n|\nمتوسط', 'C#\n|\nمتوسط', 'GIT\n|\nمقدماتی']"
2025-04-23,تحلیلگر داده تجاری (Business Data Analyst),گروه صنعتی جهان صادرات,an argumant,تهران ، مطهری,شنبه تا چهارشنبه - پنجشنبه تعطیل,تمام وقت,,"['Microsoft Excel\n|\nپیشرفته', 'Sql Server\n|\nمقدماتی', 'Tableau\n|\nمقدماتی', 'PowerBI\n|\nمقدماتی']"
2025-04-20,Senior Data Engineer,اسنپ پی,an argumant,تهران ، جردن,شنبه تا چهارشنبه,Full Time,,"['Bachelor\n|\nComputer and IT', 'Python\n|\nIntermediate', 'Kafka\n|\nIntermediate', 'Docker\n|\nIntermediate', 'Sql Server\n|\nIntermediate']"
2025-04-05,کارشناس هوش مصنوعی,بیمه دات کام,an argumant,تهران ، شهرک غرب (شهرک قدس),شنبه تا چهارشنبه 8 تا 17 (یک ساعت شناوری),تمام وقت,,"['کارشناسی ارشد\n|\nمهندسی صنایع', 'کارشناسی ارشد\n|\nمهندسی برق', 'کارشناسی ارشد\n|\nکامپیوتر / فناوری اطلاعات', 'Python\n|\nمتوسط']"
2025-04-10,کارشناس هوش مصنوعی - آقا,شرکت تحقیق و توسعه افق,30 - 35 میلیون تومان,تهران ، چیتگر,شنبه تا پنجشنبه - صبح تا بعدظهر,تمام وقت,,"['انگلیسی\n|\nپیشرفته ۹۰٪', 'Python\n|\nمتوسط', 'MySql\n|\nمتوسط', 'PostgreSql\n|\nمتوسط', 'GIT\n|\nمتوسط']"
2025-04-07,متخصص هوش مصنوعی (پردازش تصویر),داده کاوان اندیشه برتر,30 - 45 میلیون تومان,تهران ، فاطمی,شنبه تا چهارشنبه از ساعت 8:30 تا 17:30- پنجشنبه تعطیل,تمام وقت یا پاره وقت,امکان دورکاری,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'کارشناسی ارشد\n|\nمهندسی مکانیک', 'کارشناسی ارشد\n|\nمهندسی برق', 'کارشناسی ارشد\n|\nمهندسی صنایع', 'انگلیسی\n|\nبالاتر از متوسط ۷۰٪', 'Python\n|\nپیشرفته', 'Gitlab\n|\nمتوسط', 'Docker\n|\nمقدماتی', 'OpenCV\n|\nمتوسط', 'Rest API\n|\nمقدماتی', 'GIT\n|\nمتوسط']"
2025-04-26,کارشناس سیستم اطلاعاتی,شرکت نیرپارس,25 - 30 میلیون تومان,تهران ، جردن,شنبه تا چهارشنبه ساعت 07:15 الی 16:00,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'کارشناسی\n|\nمهندسی صنایع', 'انگلیسی\n|\nمتوسط ۵۰٪', 'Oracle Database\n|\nمقدماتی']"
2025-04-14,برنامه‌نویس ارشد هوش مصنوعی (AI Developer) (پاره وقت بعدازظهر),دلتا,an argumant,تهران ، گاندی,شنبه تا پنجشنبه,پاره وقت,پاره وقت,[]
2025-04-14,کارشناس ارشد هوش مصنوعی,هلدینگ فناوری نوآوری آراد,an argumant,تهران ، شهرک آزادی,شنبه تا چهارشنبه 8 الی 17,تمام وقت,,"['کارشناسی ارشد\n|\nکامپیوتر / فناوری اطلاعات', 'Python\n|\nمتوسط', 'Keras\n|\nمتوسط', 'GIT\n|\nمتوسط', 'Linux\n|\nمقدماتی', 'Prometheus\n|\nمقدماتی', 'MongoDB\n|\nمتوسط']"
2025-04-23,کارشناس ارشد هوش مصنوعی,شرکت تامین صنعت آمن,25 - 35 میلیون تومان,اصفهان,شنبه تا چهارشنبه : 8 الی 17 پنجشنبه 8 الی 13,تمام وقت,,"['کارشناسی\n|\nمهندسی برق', 'کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nمتوسط ۵۰٪', 'Python\n|\nمقدماتی', 'C++\n|\nمتوسط']"
2025-04-06,متخصص هوش مصنوعی,اسمایلینو,an argumant,تهران ، طرشت,شنبه تا چهارشنبه از ساعت 8 الی 17,تمام وقت,,['Python\n|\nپیشرفته']
2025-04-20,کارشناس تحلیل داده,بهستان بهداشت,25 - 30 میلیون تومان,تهران ، ونک,شنبه تا چهارشنبه ساعت 08:30 تا 16:30,تمام وقت,,"['Sql Server\n|\nمقدماتی', 'PowerBI\n|\nمتوسط']"
2025-04-23,کارشناس هوش مصنوعی,بینا پرداز شریف,25 - 35 میلیون تومان,تهران ، آزادی,شنبه تا چهارشنبه از 8 تا 16,تمام وقت یا پاره وقت,امکان دورکاری,"['دکترا\n|\nکامپیوتر / فناوری اطلاعات', 'کارشناسی ارشد\n|\nمهندسی هوافضا', 'انگلیسی\n|\nبالاتر از متوسط ۷۰٪']"
2025-04-19,کارشناس تحلیل داده,گروه صنعتی گلرنگ,20 - 25 میلیون تومان,تهران ، ساعی - توانیر,شنبه تا چهارشنبه ساعت 7:45 تا 16:30 پنج شنبه 7:45 تا 13:30,تمام وقت,,"['کارشناسی\n|\nریاضی و آمار', 'کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'Microsoft Excel\n|\nمتوسط', 'Microsoft Word\n|\nمتوسط', 'Microsoft Outlook\n|\nمتوسط', 'Microsoft Powerpoint\n|\nمتوسط']"
2025-04-28,کارشناس تحلیل داده (آنالیزور),شرکت تهران بوران,an argumant,تهران ، اکباتان,شنبه تا چهارشنبه 8:30 الی 17:30,تمام وقت,,"['کارشناسی\n|\nمدیریت / بازرگانی / کسب و کار', 'کارشناسی\n|\nمهندسی صنایع', 'انگلیسی\n|\nبالاتر از متوسط ۷۰٪', 'Microsoft Word\n|\nپیشرفته', 'Microsoft Excel\n|\nپیشرفته', 'PowerBI\n|\nمتوسط', 'Sql Server\n|\nمتوسط']"
2025-04-22,متخصص هوش مصنوعی,هلدینگ دانیال موج,an argumant,گرمدره,شنبه تا چهار شنبه 7 صبح الی 16 پنجشنبه تعطیل,تمام وقت یا پاره وقت,"امکان دورکاری
امکان جذب کارآموز","['کارشناسی ارشد\n|\nکامپیوتر / فناوری اطلاعات', 'Python\n|\nمتوسط', 'MySql\n|\nمتوسط', 'PowerBI\n|\nمتوسط', 'R\n|\nمتوسط', 'SAS\n|\nمتوسط']"
2025-04-30,کارشناس تحلیل داده,تپسل,an argumant,تهران ، جردن,شنبه تا چهارشنبه,تمام وقت,,"['Microsoft Excel\n|\nمقدماتی', 'PowerBI\n|\nمقدماتی', 'Python\n|\nمقدماتی']"
2025-03-25,کارشناس تحلیل داده,شرکت ویستابست,an argumant,تهران ، آرژانتین,شنبه تا چهارشنبه 8:30 لغایت 17:30 (تمام وقت، حضوری)؛,تمام وقت,,"['کارشناسی\n|\nمهندسی صنایع', 'انگلیسی\n|\nمتوسط ۵۰٪', 'Microsoft Word\n|\nمتوسط', 'Microsoft Excel\n|\nمتوسط', 'Microsoft Powerpoint\n|\nمتوسط', 'Microsoft Outlook\n|\nمتوسط', 'PowerBI\n|\nپیشرفته']"
2025-04-14,کارشناس ارشد هوش مصنوعی (AI),مهندسی فناوری اطلاعات پرتو بیتا,an argumant,تهران ، توحید,شنبه تا چهارشنبه 8 الی 17,تمام وقت,,"['کارشناسی ارشد\n|\nکامپیوتر / فناوری اطلاعات', 'Python\n|\nپیشرفته', 'Sql Server\n|\nمتوسط', 'Docker\n|\nمقدماتی', 'Rest API\n|\nمقدماتی']"
2025-04-28,کارشناس هوش تجاری (BI),مدیریت و توسعه فناوری اطلاعات آرمان,an argumant,تهران ، آرژانتین,شنبه تا چهارشنبه ساعت 7 تا 16,تمام وقت,,['ODI\n|\nمتوسط']
2025-03-30,کارشناس POWER BI,شرکت معتمد همراه فن آوا,25 - 35 میلیون تومان,تهران ، فاطمی,شنبه تا چهارشنبه 8 الی 17,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'کارشناسی\n|\nمهندسی صنایع', 'کارشناسی\n|\nریاضی و آمار', 'انگلیسی\n|\nبالاتر از متوسط ۷۰٪', 'PowerBI\n|\nپیشرفته', 'SSIS\n|\nمتوسط', 'SSAS\n|\nمتوسط']"
2025-03-08,کارشناس هوش مصنوعی (python),شرکت ایران الکتریک,40 - 60 میلیون تومان,تهران ، آپادانا,شنبه تا چهارشنبه 9 تا 18,قراردادی / پروژه ای,امکان دورکاری,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'کارشناسی\n|\nمهندسی برق', 'Python\n|\nمتوسط', 'GIT\n|\nمتوسط', 'Rest API\n|\nمتوسط', 'Kafka\n|\nمقدماتی', 'OpenCV\n|\nمتوسط', 'RabbitMQ\n|\nمقدماتی', 'Kubernetes\n|\nمقدماتی', 'Docker\n|\nمتوسط', 'Django\n|\nمقدماتی', 'PostgreSql\n|\nمقدماتی']"
